,protein,r2score,rho,p-values,r2_mRNA_protein,r2_mRNA_protein_basic_linear_regression,p-val adj. BH
2899,HLA-DPB1,0.5626585865867912,0.7229677419354837,1.739917192361341e-21,0.31534184975194035,0.5125932618208885,7.702112212026264e-21
6928,TK2,0.47070127196098255,0.7229677419354837,1.739917192361341e-21,0.2996540753123961,0.3936888692927688,7.702112212026264e-21
1954,EEA1,0.5424923327009545,0.7229124423963131,1.7580634434342828e-21,0.049860299855678414,0.2892035072986325,7.778038605510724e-21
1879,DPYD,0.5097875545084602,0.7228509984639016,1.7784427646057045e-21,0.05742096629511406,0.31734694514763323,7.863753140048513e-21
5003,PLCL2,0.4781385339707076,0.7228409300932999,1.7818041042846225e-21,0.27181738996843896,0.4372923188663573,7.874164804358371e-21
3610,LRRFIP2,0.5300591438369233,0.7228018433179721,1.794912180892789e-21,0.2822265695300159,0.3699676592323371,7.927613257449687e-21
6060,SEC11C,0.5145650437640369,0.7225069124423962,1.8969025982894334e-21,-0.5012750826874177,0.1301855861396674,8.373347699672657e-21
7102,TPI1,0.5084760648498254,0.7224946236559139,1.9012728070890207e-21,-0.11306890019492188,0.229601217708301,8.387905187281625e-21
4813,PDK2,0.4610056158336171,0.7224761904761904,1.9078465640777777e-21,0.11977677713462498,0.34584208263061345,8.412162245894238e-21
7176,TRIP4,0.48959254239395433,0.7223840245775729,1.9410497759263637e-21,-0.41916919073889414,0.1866134430552718,8.553741604110433e-21
762,BUB3,0.43762136931131845,0.7223225806451612,1.9634980917779712e-21,-0.47228953376078664,0.09541314253307653,8.647793960522123e-21
2477,G6PD,0.6176225910992679,0.7222672811059907,1.9839182326096277e-21,0.5241182577965107,0.6110528648328107,8.732812839320489e-21
6127,SERPINA6,0.46227275024276904,0.7222365591397848,1.995352225618879e-21,-0.586664175536419,0.04733897161292788,8.773268751428259e-21
3870,MFAP5,0.5290317682533204,0.7222365591397848,1.995352225618879e-21,0.06501811848266636,0.24764579769351525,8.773268751428259e-21
333,ANO6,0.4182036932283091,0.7221013824884792,2.0464310720614745e-21,0.337404877696975,0.44136894185010084,8.992799913294862e-21
