protein,r2score,rho,p-values,r2_mRNA_protein,r2_mRNA_protein_basic_linear_regression,p-val adj. BH
VPS39,0.5654963254928589,0.7752626728110598,2.642747524618751e-26,-0.1708470582962036,0.16277686691014617,2.5742927942176674e-25
ARHGAP26,0.5315360426902771,0.7752503840245775,2.650561739898627e-26,0.532309889793396,0.6040809932230412,2.578693274811824e-25
CLIC5,0.5312410593032837,0.7751516921297351,2.714143496671334e-26,0.33088183403015137,0.4218059986178118,2.6372708609892142e-25
GULP1,0.5648354887962341,0.775121351766513,2.7339883511361904e-26,0.46397876739501953,0.5424714171744163,2.6532576777403574e-25
SBSPON,0.5804630517959595,0.7750906298003071,2.7542274661347907e-26,0.26613980531692505,0.3482436741486901,2.6695870186005372e-25
ANKS1A,0.5690761804580688,0.7750107526881719,2.8075378226557134e-26,0.36978816986083984,0.4772718929052211,2.7178911941600236e-25
CACYBP,0.5631656050682068,0.7750046082949307,2.811680190808408e-26,0.3229859471321106,0.4774019296790149,2.7185367679237787e-25
ZW10,0.5409084558486938,0.7748632872503839,2.908622569060218e-26,0.02741706371307373,0.31449474953972933,2.8087957697764227e-25
GAB1,0.5772405862808228,0.7747834101382487,2.964855032741055e-26,0.38369107246398926,0.4627805568672751,2.859567948964307e-25
BAIAP2,0.5875775814056396,0.7746666666666666,3.0489592608077244e-26,0.3906049132347107,0.48169585858785724,2.9370639578864556e-25
EIF3A,0.44257283210754395,0.7746175115207372,3.0850659921626226e-26,0.035347580909729004,0.2443324620967045,2.9681901833574457e-25
ADIRF,0.5751532316207886,0.7743717357910905,3.271970007503977e-26,0.7536273002624512,0.7578438462705525,3.1441461177759343e-25
CDK1,0.5111852288246155,0.7742668859114092,3.355035817553917e-26,0.42154115438461304,0.4828843938198967,3.2200110631787406e-25
PLGRKT,0.5067813396453857,0.774242703533026,3.3744848543809144e-26,0.05506819486618042,0.35428961804757747,3.2347083984028813e-25
PAK1,0.5819164514541626,0.7742304147465436,3.384410528091771e-26,0.5965378284454346,0.652440898460548,3.240252038033517e-25
GOLM1,0.5518493056297302,0.7741996927803378,3.409349871448853e-26,0.6882123947143555,0.7105747094146929,3.260138715705737e-25
FKBP15,0.6640092134475708,0.7741136712749614,3.480140656927324e-26,0.2823096513748169,0.4179245402993154,3.3237680364451195e-25
PTPRS,0.4854516386985779,0.7740815611916394,3.506932406201779e-26,0.08685088157653809,0.26486437692137094,3.3452713757695507e-25
PSPC1,0.5902484655380249,0.7738986175115207,3.6634702500976585e-26,0.15839874744415283,0.3601739725623942,3.4903366986923125e-25
PPM1F,0.5812853574752808,0.7737204301075268,3.8225027907754544e-26,-0.1773519515991211,0.19212557391435187,3.6374229719520203e-25
PACSIN2,0.4877828359603882,0.7736344086021504,3.90167572704754e-26,0.3157978653907776,0.4380875551610015,3.7082512195584273e-25
GTF2F1,0.5620056986808777,0.7735668202764976,3.96500667635235e-26,-1.0794825553894043,0.07932363956807043,3.763869201750981e-25
C1orf35,0.5240645408630371,0.7735545314900152,3.97662897564719e-26,0.2835182547569275,0.3994108353534181,3.7703262845469473e-25
RNMT,0.4960636496543884,0.7735238095238094,4.005830765992334e-26,0.3420068025588989,0.5003424516394489,3.793415042565622e-25
SEPTIN11,0.5818151235580444,0.7734930875576035,4.0352423601611596e-26,-0.09641087055206299,0.21507862935251038,3.8120369252633565e-25
RPS19,0.5128515362739563,0.7734930875576035,4.0352423601611596e-26,-0.00525975227355957,0.2125248047875845,3.8120369252633565e-25
SH3GL1,0.5559737682342529,0.773364055299539,4.1610955584354695e-26,0.12369769811630249,0.34690852721808346,3.9261869068856743e-25
CYB5R1,0.5423853397369385,0.7730199692780336,4.5157815799500885e-26,0.396175742149353,0.4678825774183518,4.255716086550553e-25
NUDCD3,0.5678591728210449,0.772884792626728,4.663073002634216e-26,0.4010118246078491,0.5166428904147251,4.389236705969295e-25
CD44,0.5185575485229492,0.7728417818740398,4.710916727317787e-26,0.4188461899757385,0.4928046854414925,4.428941182822083e-25
DOCK7,0.4986744523048401,0.7727680491551457,4.7940544215388027e-26,0.09838587045669556,0.28731934167245937,4.496294206867687e-25
SNX17,0.5178084373474121,0.7727680491551457,4.7940544215388027e-26,-0.9538335800170898,0.009119049094865071,4.496294206867687e-25
PMPCA,0.5423105955123901,0.7727557603686634,4.8080495818839425e-26,0.04469764232635498,0.2848012287873389,4.504019620298946e-25
QDPR,0.5433719158172607,0.7727311827956987,4.836159940262584e-26,0.31152552366256714,0.40141714143559154,4.524933379513628e-25
